feature,importance,category
team_clean_sheets_avg_5gw,0.04761181205662052,Xt (Team)
minutes_avg_5gw,0.027090193045699255,Xp (Player)
team_clean_sheets_avg_3gw,0.022319804045062067,Xt (Team)
team_goals_conceded_avg_5gw,0.02048437977868999,Xt (Team)
minutes_avg_3gw,0.01883890389809583,Xp (Player)
total_points_roll3,0.018785355849427924,Xp (Player)
ict_index_avg_10gw,0.01709477735171646,Xp (Player)
total_points_std5,0.016519630220354332,Xs (Status)
minutes_avg_10gw,0.015845916024074848,Xp (Player)
ict_index_avg_5gw,0.014871804295649193,Xp (Player)
bps_avg_10gw,0.01469256815080509,Xp (Player)
total_points_avg_10gw,0.014313505294914887,Xp (Player)
creativity_avg_5gw,0.014206369792589728,Xp (Player)
creativity_avg_10gw,0.013597606405583223,Xp (Player)
ict_index_avg_3gw,0.01308372348911993,Xp (Player)
team_goals_conceded_avg_3gw,0.012775876262713766,Xt (Team)
influence_avg_10gw,0.01275041605461319,Xp (Player)
total_points_std10,0.012690365256738693,Xs (Status)
bps_avg_5gw,0.012679126951164205,Xp (Player)
influence_avg_5gw,0.012481781559512992,Xp (Player)
consistency_10gw,0.0124220517306642,Xp (Player)
total_points_roll5,0.012178161933397607,Xp (Player)
influence_avg_3gw,0.011847513660550521,Xp (Player)
creativity_avg_3gw,0.01184506891583452,Xp (Player)
team_defense_strength_5,0.01172039147485014,Xt (Team)
threat_avg_10gw,0.011568792715804063,Xp (Player)
bps_avg_3gw,0.011459366692654505,Xp (Player)
consistency_5gw,0.011381177051880596,Xp (Player)
total_points_roll10,0.011250510002895373,Xp (Player)
team_goals_against_team_roll3,0.011065579564549479,Xt (Team)
team_goals_against_team_roll5,0.010694647983218097,Xt (Team)
total_points_avg_5gw,0.010469804587790593,Xp (Player)
expected_goals_conceded_avg_10gw,0.009726863718402439,Xp (Player)
threat_avg_5gw,0.009499265057978157,Xp (Player)
team_goals_against_team_roll10,0.009326642628639569,Xt (Team)
expected_goals_conceded_avg_5gw,0.009225538610334061,Xp (Player)
team_expected_goals_conceded_avg_5gw,0.00922043093846903,Xt (Team)
xa_diff_5gw,0.009040986133094184,Xp (Player)
expected_goals_conceded_avg_3gw,0.008969266480622066,Xp (Player)
expected_goal_involvements_avg_10gw,0.008885731727007143,Xp (Player)
threat_avg_3gw,0.00872742601023545,Xp (Player)
xg_diff_5gw,0.008506433298240681,Xp (Player)
expected_assists_avg_10gw,0.008502916823189918,Xp (Player)
goals_conceded_avg_10gw,0.00848645393619367,Xp (Player)
team_attack_strength_5,0.008366008288306085,Xt (Team)
minutes_std10,0.008297366564625853,Xs (Status)
fdr_defense,0.00819370652693443,Xp (Player)
fdr_attack,0.008176206402283752,Xp (Player)
total_points_avg_3gw,0.008051799202666082,Xp (Player)
team_goals_for_team_roll10,0.008009498126581631,Xt (Team)
bps_avg_1gw,0.0078124353661845405,Xp (Player)
xa_diff_3gw,0.007787186727981535,Xp (Player)
expected_goals_avg_10gw,0.00776669520459467,Xp (Player)
team_expected_goals_conceded_avg_3gw,0.0077492945801943955,Xt (Team)
minutes_std5,0.007638694735646986,Xs (Status)
ict_index_avg_1gw,0.007605441767972095,Xp (Player)
influence_avg_1gw,0.007577029522296889,Xp (Player)
team_goals_for_team_roll5,0.007520453879810899,Xt (Team)
clean_sheets_avg_10gw,0.00746519800300546,Xp (Player)
creativity_avg_1gw,0.007436257023947795,Xp (Player)
xg_diff_3gw,0.007406727673293889,Xp (Player)
goals_conceded_avg_5gw,0.007386922773203636,Xp (Player)
expected_goal_involvements_avg_5gw,0.007374971163347674,Xp (Player)
expected_assists_avg_5gw,0.007311804101600687,Xp (Player)
expected_goal_involvements_avg_3gw,0.006948310121443306,Xp (Player)
team_expected_goals_avg_5gw,0.006938885807887541,Xt (Team)
bonus_avg_10gw,0.006851484701548746,Xp (Player)
threat_avg_1gw,0.006651020555379376,Xp (Player)
expected_assists_avg_3gw,0.006568860719630458,Xp (Player)
team_goals_for_team_roll3,0.006508288819899279,Xt (Team)
goals_conceded_avg_3gw,0.006417307189530109,Xp (Player)
expected_goal_involvements_roll3,0.006376782371215248,Xp (Player)
