feature,importance,category
minutes_avg_3gw,0.03376066441092041,Xp (Player)
ict_index_avg_3gw,0.027610914666837114,Xp (Player)
creativity_avg_3gw,0.02729937965376251,Xp (Player)
total_points_avg_10gw,0.02005998978542923,Xp (Player)
total_points_roll3,0.019716575898868004,Xp (Player)
threat_avg_3gw,0.01778612685898872,Xp (Player)
minutes_avg_5gw,0.01740195168280763,Xp (Player)
bps_avg_10gw,0.015561665598867975,Xp (Player)
minutes_avg_10gw,0.015443213776218732,Xp (Player)
total_points_std5,0.01522407172453935,Xs (Status)
influence_avg_3gw,0.01498872971904696,Xp (Player)
ict_index_avg_10gw,0.014880624278206382,Xp (Player)
threat_avg_10gw,0.014749863866604691,Xp (Player)
ict_index_avg_5gw,0.014013947510280199,Xp (Player)
creativity_avg_5gw,0.013289669949188676,Xp (Player)
total_points_roll5,0.013173042703595143,Xp (Player)
total_points_avg_5gw,0.012716936804406134,Xp (Player)
influence_avg_5gw,0.012680427502822268,Xp (Player)
team_attack_strength_5,0.012517818054469443,Xt (Team)
expected_goal_involvements_avg_10gw,0.012500005535391333,Xp (Player)
threat_avg_5gw,0.012497069044686032,Xp (Player)
influence_avg_10gw,0.01240549255667564,Xp (Player)
creativity_avg_10gw,0.012063786284217198,Xp (Player)
bps_avg_3gw,0.01183722803254747,Xp (Player)
expected_goals_avg_10gw,0.011649922537239763,Xp (Player)
total_points_avg_3gw,0.011190922413322,Xp (Player)
bps_avg_5gw,0.010981616260513988,Xp (Player)
total_points_std10,0.010866548765919002,Xs (Status)
team_goals_for_team_roll3,0.010458940415241732,Xt (Team)
minutes_avg_1gw,0.010345324040060416,Xp (Player)
consistency_10gw,0.010253346845266654,Xp (Player)
total_points_roll10,0.010194631372448991,Xp (Player)
consistency_5gw,0.009942911164249767,Xp (Player)
team_goals_for_team_roll5,0.009726285393095025,Xt (Team)
expected_goal_involvements_avg_5gw,0.009385506046169143,Xp (Player)
bps_avg_1gw,0.009239699748911832,Xp (Player)
team_goals_for_team_roll10,0.009120335678564054,Xt (Team)
expected_goals_conceded_avg_10gw,0.008918559309565262,Xp (Player)
xa_diff_5gw,0.0088205086315979,Xp (Player)
xg_diff_5gw,0.008708403704097693,Xp (Player)
influence_avg_1gw,0.008597478514305416,Xp (Player)
ict_index_avg_1gw,0.008589836714390715,Xp (Player)
team_expected_goals_avg_3gw,0.008542772202591767,Xt (Team)
goals_conceded_avg_10gw,0.008521073033519446,Xp (Player)
team_expected_goals_avg_5gw,0.008517126058791147,Xt (Team)
expected_goal_involvements_avg_3gw,0.008500468673766099,Xp (Player)
xg_diff_3gw,0.008446380034800919,Xp (Player)
goals_scored_avg_10gw,0.00843240996013237,Xp (Player)
xa_diff_3gw,0.008398838268027582,Xp (Player)
creativity_avg_1gw,0.008352504000267182,Xp (Player)
bonus_avg_10gw,0.00832676235583216,Xp (Player)
expected_goals_avg_5gw,0.008284001055781306,Xp (Player)
goals_conceded_avg_5gw,0.00806970388870169,Xp (Player)
threat_avg_1gw,0.008038276788261748,Xp (Player)
minutes_std5,0.008027463777406457,Xs (Status)
expected_goals_conceded_team_roll10,0.008021368152855571,Xt (Team)
expected_goals_conceded_avg_3gw,0.007939595405960771,Xp (Player)
expected_goals_avg_3gw,0.007928905446279439,Xp (Player)
expected_assists_avg_10gw,0.0077844813974277645,Xp (Player)
clean_sheets_avg_10gw,0.007770398213336275,Xp (Player)
expected_goals_conceded_avg_5gw,0.007663625879381273,Xp (Player)
minutes_std10,0.00759876581765778,Xs (Status)
team_expected_goals_conceded_avg_5gw,0.007463078636485,Xt (Team)
expected_assists_avg_5gw,0.007085167068861103,Xp (Player)
expected_goals_conceded_avg_1gw,0.0069362921149366975,Xp (Player)
expected_goal_involvements_avg_1gw,0.006897403709836951,Xp (Player)
team_expected_goals_conceded_avg_3gw,0.006782554838940851,Xt (Team)
team_goals_against_team_roll10,0.006732346869532028,Xt (Team)
expected_assists_avg_1gw,0.006601547594247483,Xp (Player)
team_defense_strength_5,0.00658456952631988,Xt (Team)
team_goals_conceded_avg_5gw,0.006407056312155262,Xt (Team)
expected_goals_avg_1gw,0.006363437683077131,Xp (Player)
expected_assists_avg_3gw,0.006253374475354803,Xp (Player)
team_goals_scored_avg_5gw,0.006203305421505817,Xt (Team)
expected_assists_roll10,0.006157933976504664,Xp (Player)
team_goals_against_team_roll5,0.006123091460348213,Xt (Team)
expected_goal_involvements_roll3,0.00606147371232563,Xp (Player)
goals_conceded_avg_3gw,0.005796699371403061,Xp (Player)
bonus_avg_5gw,0.005742841379331673,Xp (Player)
goals_scored_avg_5gw,0.005688176069835906,Xp (Player)
