feature,importance,category
minutes_avg_3gw,0.11883605452128367,Xp (Player)
bps_avg_3gw,0.05000410369381472,Xp (Player)
ict_index_avg_3gw,0.04235908994011352,Xp (Player)
bps_avg_5gw,0.026430133674060642,Xp (Player)
influence_avg_3gw,0.02588675946722947,Xp (Player)
minutes_avg_5gw,0.024195909878773153,Xp (Player)
ict_index_avg_5gw,0.02237870788329322,Xp (Player)
ict_index_avg_10gw,0.019446576081707447,Xp (Player)
influence_avg_5gw,0.018378226158897195,Xp (Player)
influence_avg_10gw,0.018038890515599582,Xp (Player)
total_points_avg_5gw,0.0172834253037787,Xp (Player)
bps_avg_10gw,0.01686448829997518,Xp (Player)
total_points_std5,0.0148599041903763,Xs (Status)
team_goals_against_team_roll3,0.014672250201864315,Xt (Team)
total_points_avg_3gw,0.014594626304837037,Xp (Player)
minutes_avg_10gw,0.014359901364199769,Xp (Player)
xa_diff_5gw,0.013897537099847559,Xp (Player)
team_defense_strength_5,0.013588666676860048,Xt (Team)
team_goals_against_team_roll5,0.013014920597884859,Xt (Team)
goals_conceded_avg_10gw,0.012743451699464428,Xp (Player)
total_points_roll3,0.012503454735934165,Xp (Player)
total_points_roll5,0.012492264618586909,Xp (Player)
total_points_avg_10gw,0.012346071420860616,Xp (Player)
consistency_5gw,0.012127337096367149,Xp (Player)
consistency_10gw,0.012050207492147658,Xp (Player)
total_points_std10,0.01172478512476796,Xs (Status)
goals_conceded_avg_5gw,0.011564180544700731,Xp (Player)
total_points_roll10,0.010632922004439448,Xp (Player)
expected_goals_conceded_avg_10gw,0.010240336628572155,Xp (Player)
team_expected_goals_conceded_avg_5gw,0.010059165979017959,Xt (Team)
team_goals_against_team_roll10,0.01004207300905677,Xt (Team)
minutes_std10,0.00994416282340851,Xs (Status)
expected_goals_conceded_avg_5gw,0.00944146100325455,Xp (Player)
ict_index_avg_1gw,0.00893826082602237,Xp (Player)
expected_goals_conceded_avg_3gw,0.008905217214842593,Xp (Player)
expected_assists_avg_5gw,0.008899523934500669,Xp (Player)
bps_avg_1gw,0.008788669214184598,Xp (Player)
influence_avg_1gw,0.008754922486612016,Xp (Player)
team_goals_for_team_roll10,0.00846557770480179,Xt (Team)
goals_conceded_avg_3gw,0.008455518944088147,Xp (Player)
minutes_std5,0.00828078587667921,Xs (Status)
expected_goals_conceded_avg_1gw,0.007612951729354039,Xp (Player)
expected_assists_avg_10gw,0.007580110354426151,Xp (Player)
clean_sheets_avg_10gw,0.007385533466492105,Xp (Player)
team_goals_conceded_avg_5gw,0.006861632109415871,Xt (Team)
team_attack_strength_5,0.0068481040947247235,Xt (Team)
team_goals_conceded_avg_3gw,0.006757313006307421,Xt (Team)
team_goals_for_team_roll5,0.006570207171729649,Xt (Team)
bonus_avg_10gw,0.006494256632169083,Xp (Player)
expected_goal_involvements_avg_10gw,0.006381679706489109,Xp (Player)
team_goals_for_team_roll3,0.006329035815764253,Xt (Team)
expected_goal_involvements_avg_3gw,0.006158503676298157,Xp (Player)
fdr_defense,0.006155333345962989,Xp (Player)
team_expected_goals_conceded_avg_3gw,0.006118509075382944,Xt (Team)
expected_goals_conceded_team_roll5,0.00606912098998346,Xt (Team)
xa_diff_3gw,0.005938288055892247,Xp (Player)
expected_goal_involvements_roll5,0.005934493001464109,Xp (Player)
creativity_avg_5gw,0.005915278317452297,Xp (Player)
creativity_avg_1gw,0.005767995066670853,Xp (Player)
expected_goal_involvements_avg_5gw,0.005625771856082215,Xp (Player)
creativity_avg_10gw,0.005413314315524982,Xp (Player)
expected_goals_conceded_team_roll10,0.005406274444033409,Xt (Team)
clean_sheets_avg_5gw,0.005206425043402372,Xp (Player)
goals_conceded_avg_1gw,0.005120827904641917,Xp (Player)
bonus_avg_5gw,0.005015837895542472,Xp (Player)
expected_goal_involvements_roll3,0.004966927465531603,Xp (Player)
expected_assists_avg_3gw,0.004945107547350926,Xp (Player)
total_points_avg_1gw,0.004842935870044838,Xp (Player)
expected_goals_conceded_team_roll3,0.004819660924486801,Xt (Team)
expected_goal_involvements_roll10,0.00478686693692689,Xp (Player)
expected_goals_roll5,0.004762943440678832,Xp (Player)
fdr_attack,0.004707939093967307,Xp (Player)
minutes_avg_1gw,0.004677126019033397,Xp (Player)
creativity_avg_3gw,0.004563728366715911,Xp (Player)
expected_goals_conceded_roll5,0.004373479499453547,Xp (Player)
expected_goals_roll3,0.004329568060903587,Xp (Player)
expected_goals_conceded_roll3,0.004165877426180363,Xp (Player)
threat_avg_5gw,0.004055702879370405,Xp (Player)
expected_assists_roll10,0.0040283719697499195,Xp (Player)
expected_assists_roll5,0.004008576007033181,Xp (Player)
expected_assists_roll3,0.003934042705451105,Xp (Player)
expected_goals_conceded_roll10,0.003925257800058757,Xp (Player)
clean_sheets_avg_3gw,0.0038048705692729275,Xp (Player)
team_clean_sheets_avg_5gw,0.0035416938441811146,Xt (Team)
expected_assists_avg_1gw,0.0035400847039170078,Xp (Player)
start_rate_5,0.0035084906677312656,Xs (Status)
bonus_avg_3gw,0.003422560636434444,Xp (Player)
bonus_avg_1gw,0.0032363291430850356,Xp (Player)
expected_goals_roll10,0.0029913700281256413,Xp (Player)
assists_avg_10gw,0.002934500563782125,Xp (Player)
assists_avg_5gw,0.00280681326450283,Xp (Player)
assists_avg_1gw,0.002750152187646607,Xp (Player)
team_clean_sheets_avg_3gw,0.0026288325516552226,Xt (Team)
expected_goal_involvements_avg_1gw,0.0026121919778174796,Xp (Player)
clean_sheets_avg_1gw,0.0023765511241801473,Xp (Player)
threat_avg_10gw,0.0023709697649289506,Xp (Player)
expected_goals_avg_10gw,0.002220484671000967,Xp (Player)
expected_goals_avg_1gw,0.0013098002929641387,Xp (Player)
assists_avg_3gw,0.0012536624013381344,Xp (Player)
threat_avg_1gw,0.000834183501602763,Xp (Player)
threat_avg_3gw,0.000669174218312978,Xp (Player)
expected_goals_avg_5gw,4.0506710926412345e-05,Xp (Player)
expected_goals_avg_3gw,3.771329625083504e-05,Xp (Player)
xg_diff_5gw,3.660352792520311e-05,Xp (Player)
xg_diff_3gw,1.1348734013217131e-05,Xp (Player)
team_expected_goals_avg_5gw,5.281966949232795e-06,Xt (Team)
team_expected_goals_avg_3gw,4.395059074130153e-06,Xt (Team)
opp_xgc_team_roll5,0.0,Xo (Opponent)
goals_scored_avg_1gw,0.0,Xp (Player)
attack_matchup_5,0.0,Xt (Team)
opp_goals_against_team_roll5,0.0,Xo (Opponent)
opp_goals_for_team_roll5,0.0,Xo (Opponent)
team_goals_scored_avg_3gw,0.0,Xt (Team)
goals_scored_avg_3gw,0.0,Xp (Player)
goals_scored_avg_5gw,0.0,Xp (Player)
goals_scored_avg_10gw,0.0,Xp (Player)
team_goals_scored_avg_5gw,0.0,Xt (Team)
is_home,0.0,Xp (Player)
defense_matchup_5,0.0,Xt (Team)
