feature,importance,category
minutes_avg_5gw,0.026588052543573625,Xp (Player)
ict_index_avg_10gw,0.025229986222631822,Xp (Player)
total_points_roll3,0.024592200170941554,Xp (Player)
minutes_avg_10gw,0.02085534754471846,Xp (Player)
total_points_avg_10gw,0.0187303747590329,Xp (Player)
ict_index_avg_5gw,0.0160579798477791,Xp (Player)
threat_avg_10gw,0.015488372344826494,Xp (Player)
creativity_avg_10gw,0.015284896057844081,Xp (Player)
total_points_std5,0.014378774238410757,Xs (Status)
ict_index_avg_3gw,0.013224890550121878,Xp (Player)
bps_avg_10gw,0.013112106959037938,Xp (Player)
consistency_10gw,0.013000569284770135,Xp (Player)
total_points_roll5,0.012782753465711071,Xp (Player)
creativity_avg_5gw,0.012668447640704806,Xp (Player)
expected_goal_involvements_avg_10gw,0.012450283846511534,Xp (Player)
influence_avg_10gw,0.012342897269469424,Xp (Player)
threat_avg_5gw,0.012281261858754538,Xp (Player)
minutes_avg_3gw,0.012274430259647317,Xp (Player)
threat_avg_3gw,0.01198642080268694,Xp (Player)
influence_avg_5gw,0.01196081435242171,Xp (Player)
consistency_5gw,0.011448116153221593,Xp (Player)
creativity_avg_3gw,0.011374665782682302,Xp (Player)
bps_avg_5gw,0.011225903807291946,Xp (Player)
team_goals_for_team_roll3,0.011107630824687601,Xt (Team)
goals_scored_avg_3gw,0.010929686063825595,Xp (Player)
total_points_std10,0.010494219379820547,Xs (Status)
influence_avg_3gw,0.010372560900451952,Xp (Player)
total_points_roll10,0.010349693775604714,Xp (Player)
xa_diff_3gw,0.010281213701933599,Xp (Player)
total_points_avg_5gw,0.01004405833554723,Xp (Player)
bps_avg_3gw,0.009852211497407328,Xp (Player)
xa_diff_5gw,0.00962374672729737,Xp (Player)
fdr_attack,0.00931869079171904,Xp (Player)
xg_diff_3gw,0.009309164785594556,Xp (Player)
expected_goals_avg_10gw,0.009245958331480843,Xp (Player)
total_points_avg_3gw,0.009139901926378653,Xp (Player)
expected_goal_involvements_avg_3gw,0.00907320261781147,Xp (Player)
team_goals_for_team_roll5,0.009052822063665918,Xt (Team)
expected_assists_avg_10gw,0.009030180384809322,Xp (Player)
expected_goal_involvements_avg_5gw,0.009030055056134897,Xp (Player)
expected_goals_conceded_avg_10gw,0.00875234161251473,Xp (Player)
xg_diff_5gw,0.008733088166087193,Xp (Player)
expected_goals_conceded_avg_5gw,0.0086745551216531,Xp (Player)
creativity_avg_1gw,0.00865524568431198,Xp (Player)
expected_goals_avg_5gw,0.008573027841890013,Xp (Player)
influence_avg_1gw,0.008551350229510845,Xp (Player)
team_attack_strength_5,0.008533102875401944,Xt (Team)
goals_conceded_avg_10gw,0.008513202049936556,Xp (Player)
minutes_avg_1gw,0.008343732627532137,Xp (Player)
ict_index_avg_1gw,0.008301499844657556,Xp (Player)
expected_goals_conceded_avg_3gw,0.008282663330891315,Xp (Player)
expected_assists_avg_5gw,0.008282567114770392,Xp (Player)
team_expected_goals_conceded_avg_5gw,0.008161870048615998,Xt (Team)
bonus_avg_10gw,0.00814787635225319,Xp (Player)
team_expected_goals_avg_5gw,0.008072239741526026,Xt (Team)
expected_goals_avg_3gw,0.008030594481765204,Xp (Player)
team_goals_for_team_roll10,0.008006370809675124,Xt (Team)
goals_conceded_avg_5gw,0.00794409073162241,Xp (Player)
bps_avg_1gw,0.007934523844393793,Xp (Player)
expected_assists_avg_3gw,0.007880141088355467,Xp (Player)
team_expected_goals_conceded_avg_3gw,0.007814785299072199,Xt (Team)
expected_goal_involvements_roll3,0.0078117476459909265,Xp (Player)
team_goals_conceded_avg_5gw,0.007762350460912917,Xt (Team)
minutes_std10,0.007721733991537807,Xs (Status)
team_goals_against_team_roll10,0.007648987814504127,Xt (Team)
clean_sheets_avg_10gw,0.007526787136343821,Xp (Player)
goals_scored_avg_10gw,0.007514256394776911,Xp (Player)
minutes_std5,0.007452520148525518,Xs (Status)
threat_avg_1gw,0.00700815093798207,Xp (Player)
expected_assists_roll10,0.007000261795161967,Xp (Player)
expected_goal_involvements_avg_1gw,0.006906086575967976,Xp (Player)
expected_assists_roll3,0.006875966407168614,Xp (Player)
bonus_avg_5gw,0.006687079129672764,Xp (Player)
team_expected_goals_avg_3gw,0.006664952601489524,Xt (Team)
goals_conceded_avg_3gw,0.006620091406296968,Xp (Player)
fdr_defense,0.00660753964321165,Xp (Player)
expected_goal_involvements_roll5,0.006596349372678298,Xp (Player)
team_defense_strength_5,0.006579778213147815,Xt (Team)
expected_goals_roll10,0.006490228779423838,Xp (Player)
expected_goals_roll3,0.00646770202521296,Xp (Player)
clean_sheets_avg_5gw,0.0063503607780202075,Xp (Player)
expected_goal_involvements_roll10,0.006344561075906898,Xp (Player)
expected_goals_conceded_team_roll10,0.006037302613494231,Xt (Team)
expected_assists_roll5,0.00603026115877432,Xp (Player)
team_goals_against_team_roll5,0.005951863309796272,Xt (Team)
team_clean_sheets_avg_5gw,0.005941595749203647,Xt (Team)
expected_goals_conceded_avg_1gw,0.0059392875297427875,Xp (Player)
expected_assists_avg_1gw,0.005799542483650835,Xp (Player)
team_goals_scored_avg_3gw,0.0057864711668506015,Xt (Team)
assists_avg_10gw,0.005754580633925243,Xp (Player)
team_goals_scored_avg_5gw,0.0057545414615316134,Xt (Team)
total_points_avg_1gw,0.0057292184667485134,Xp (Player)
bonus_avg_1gw,0.005711503111883519,Xp (Player)
bonus_avg_3gw,0.005709667135545564,Xp (Player)
team_clean_sheets_avg_3gw,0.005640445049765489,Xt (Team)
expected_goals_conceded_roll10,0.005595817903175064,Xp (Player)
expected_goals_avg_1gw,0.005564027512584727,Xp (Player)
start_rate_5,0.005434464842242338,Xs (Status)
goals_scored_avg_5gw,0.0054313136005224635,Xp (Player)
team_goals_against_team_roll3,0.005383489052547397,Xt (Team)
expected_goals_conceded_team_roll3,0.005333090585270105,Xt (Team)
team_goals_conceded_avg_3gw,0.005310134265658685,Xt (Team)
expected_goals_conceded_team_roll5,0.005253326585144771,Xt (Team)
assists_avg_3gw,0.005143260457885208,Xp (Player)
goals_conceded_avg_1gw,0.0051239369517822415,Xp (Player)
expected_goals_roll5,0.0049484110856194904,Xp (Player)
assists_avg_5gw,0.004819634743903065,Xp (Player)
goals_scored_avg_1gw,0.004677957381468768,Xp (Player)
expected_goals_conceded_roll5,0.004618312533095721,Xp (Player)
clean_sheets_avg_3gw,0.004280386070027885,Xp (Player)
expected_goals_conceded_roll3,0.004234526558296967,Xp (Player)
assists_avg_1gw,0.0036562921981636433,Xp (Player)
clean_sheets_avg_1gw,0.002984472003214096,Xp (Player)
is_home,0.0,Xp (Player)
opp_goals_for_team_roll5,0.0,Xo (Opponent)
opp_goals_against_team_roll5,0.0,Xo (Opponent)
opp_xgc_team_roll5,0.0,Xo (Opponent)
attack_matchup_5,0.0,Xt (Team)
defense_matchup_5,0.0,Xt (Team)
