goals_scored,season,element_type,assists,team,influence,goals_conceded,clean_sheets,bps,round,expected_goal_involvements,expected_goals,player_id,bonus,opponent_team,minutes,expected_goals_conceded,creativity,threat,expected_assists,total_points,player_name,ict_index,fdr_attack,fdr_defense,is_home
0,2021-22,2.0,0,Man Utd,0.0,0,0,0,1,,,286,0,10,0,,0.0,0.0,,0,Eric Bailly,0.0,3.0,3.0,1
0,2021-22,2.0,0,Newcastle,0.0,0,0,0,1,,,301,0,19,0,,0.0,0.0,,0,Paul Dummett,0.0,3.0,3.0,1
0,2021-22,2.0,0,Wolves,0.0,0,0,0,1,,,428,0,9,0,,0.0,0.0,,0,Willy Boly,0.0,3.0,3.0,1
0,2021-22,2.0,0,Man Utd,0.0,0,0,0,1,,,510,0,10,0,,0.0,0.0,,0,José Diogo Dalot Teixeira,0.0,3.0,3.0,1
0,2021-22,2.0,0,West Ham,0.0,0,0,0,1,,,554,0,14,0,,0.0,0.0,,0,Jamal Baptiste,0.0,3.0,3.0,1
0,2021-22,2.0,0,Norwich,0.0,0,0,0,1,,,321,0,11,0,,0.0,0.0,,0,Sam Byram,0.0,3.0,3.0,1
0,2021-22,2.0,0,Watford,0.0,0,0,0,1,,,377,0,2,0,,0.0,0.0,,0,Danny Rose,0.0,3.0,3.0,1
0,2021-22,2.0,0,Leeds,25.4,5,0,10,1,,,184,0,13,90,,10.5,2.0,,-1,Liam Cooper,3.8,3.0,3.0,1
0,2021-22,2.0,0,Aston Villa,0.0,0,0,0,1,,,46,0,18,0,,0.0,0.0,,0,Frédéric Guilbert,0.0,3.0,3.0,1
0,2021-22,2.0,0,Aston Villa,3.0,2,0,4,1,,,39,0,18,45,,14.8,0.0,,0,Matt Targett,1.8,3.0,3.0,1
0,2021-22,2.0,0,Man Utd,6.2,1,0,5,1,,,275,0,10,90,,28.7,6.0,,1,Luke Shaw,4.1,3.0,3.0,1
0,2021-22,2.0,0,Chelsea,0.0,0,0,3,1,,,539,0,7,4,,0.1,2.0,,1,Emerson Palmieri dos Santos,0.2,3.0,3.0,1
0,2021-22,2.0,0,Aston Villa,8.4,3,0,13,1,,,52,0,18,90,,22.7,6.0,,1,Ashley Young,3.7,3.0,3.0,1
0,2021-22,2.0,0,Norwich,0.0,0,0,0,1,,,324,0,11,0,,0.0,0.0,,0,Christoph Zimmermann,0.0,3.0,3.0,1
0,2021-22,2.0,0,Brighton,34.8,1,0,22,1,,,56,0,5,90,,0.2,57.0,,2,Shane Duffy,9.2,3.0,3.0,1
0,2021-22,2.0,0,Chelsea,2.2,0,0,4,1,,,142,0,7,23,,2.1,2.0,,1,Reece James,0.6,3.0,3.0,1
0,2021-22,2.0,0,Aston Villa,0.0,0,0,0,1,,,36,0,18,0,,0.0,0.0,,0,Kortney Hause,0.0,3.0,3.0,1
0,2021-22,2.0,0,Aston Villa,15.6,3,0,12,1,,,38,0,18,90,,0.8,0.0,,0,Tyrone Mings,1.6,3.0,3.0,1
0,2021-22,2.0,0,Aston Villa,0.0,0,0,0,1,,,31,0,18,0,,0.0,0.0,,0,Björn Engels,0.0,3.0,3.0,1
0,2021-22,2.0,0,Watford,0.0,0,0,0,1,,,382,0,2,0,,0.0,0.0,,0,Francisco Femenía Far,0.0,3.0,3.0,1
0,2021-22,2.0,0,Arsenal,0.0,0,0,0,1,,,9,0,3,0,,0.0,0.0,,0,Héctor Bellerín,0.0,3.0,3.0,1
0,2021-22,2.0,0,Leicester,0.0,0,0,0,1,,,220,0,20,0,,0.0,0.0,,0,Wesley Fofana,0.0,3.0,3.0,1
0,2021-22,2.0,0,West Ham,0.0,0,0,0,1,,,417,0,14,0,,0.0,0.0,,0,Arthur Masuaku,0.0,3.0,3.0,1
0,2021-22,2.0,0,Man Utd,0.0,0,0,0,1,,,290,0,10,0,,0.0,0.0,,0,Brandon Williams,0.0,3.0,3.0,1
0,2021-22,2.0,0,Watford,0.0,0,0,0,1,,,400,0,2,0,,0.0,0.0,,0,Jeremy Ngakia,0.0,3.0,3.0,1
0,2021-22,2.0,0,Liverpool,0.0,0,0,0,1,,,248,0,15,0,,0.0,0.0,,0,Ben Davies,0.0,3.0,3.0,1
1,2021-22,2.0,0,Chelsea,45.4,0,1,37,1,,,527,2,7,90,,7.0,11.0,,14,Trevoh Chalobah,6.3,3.0,3.0,1
0,2021-22,2.0,0,Norwich,0.0,0,0,0,1,,,515,0,11,0,,0.0,0.0,,0,Bali Mumba,0.0,3.0,3.0,1
0,2021-22,2.0,0,Newcastle,0.0,0,0,0,1,,,305,0,19,0,,0.0,0.0,,0,Fabian Schär,0.0,3.0,3.0,1
0,2021-22,2.0,0,Chelsea,0.0,0,0,0,1,,,135,0,7,0,,0.0,0.0,,0,Benjamin Chilwell,0.0,3.0,3.0,1
0,2021-22,2.0,0,Liverpool,0.0,0,0,0,1,,,234,0,15,0,,0.0,0.0,,0,Andrew Robertson,0.0,3.0,3.0,1
0,2021-22,2.0,0,Wolves,0.0,0,0,0,1,,,470,0,9,0,,0.0,0.0,,0,Rayan Ait Nouri,0.0,3.0,3.0,1
0,2021-22,2.0,0,Brighton,0.0,0,0,0,1,,,536,0,5,0,,0.0,0.0,,0,Michal Karbownik,0.0,3.0,3.0,1
0,2021-22,2.0,0,Newcastle,16.6,4,0,12,1,,,293,0,19,90,,11.6,28.0,,0,Ciaran Clark,5.6,3.0,3.0,1
0,2021-22,2.0,0,Burnley,0.0,0,0,0,1,,,534,0,4,0,,0.0,0.0,,0,Bobby Thomas,0.0,3.0,3.0,1
0,2021-22,2.0,0,Liverpool,0.0,0,0,0,1,,,247,0,15,0,,0.0,0.0,,0,Rhys Williams,0.0,3.0,3.0,1
0,2021-22,2.0,0,Man City,21.2,1,0,21,1,,,256,0,17,90,,38.5,12.0,,2,João Pedro Cavaco Cancelo,7.2,3.0,3.0,1
0,2021-22,2.0,0,Arsenal,0.0,0,0,0,1,,,5,0,3,0,,0.0,0.0,,0,Cédric Soares,0.0,3.0,3.0,1
0,2021-22,2.0,0,Liverpool,0.0,0,0,0,1,,,238,0,15,0,,0.0,0.0,,0,Joseph Gomez,0.0,3.0,3.0,1
0,2021-22,2.0,0,Spurs,17.0,0,1,22,1,,,361,1,12,90,,0.1,0.0,,7,Eric Dier,1.7,3.0,3.0,1
0,2021-22,2.0,0,Southampton,0.0,0,0,0,1,,,343,0,8,0,,0.0,0.0,,0,Jan Bednarek,0.0,3.0,3.0,1
0,2021-22,2.0,0,Brentford,10.8,0,1,22,1,,,76,0,1,90,,0.0,0.0,,6,Pontus Jansson,1.1,3.0,3.0,1
0,2021-22,2.0,0,Man City,0.0,0,0,0,1,,,259,0,17,0,,0.0,0.0,,0,Aymeric Laporte,0.0,3.0,3.0,1
0,2021-22,2.0,0,Arsenal,0.0,0,0,0,1,,,466,0,3,9,,0.7,1.0,,1,Nuno Varela Tavares,0.1,3.0,3.0,1
0,2021-22,2.0,0,Liverpool,9.4,0,1,21,1,,,245,0,15,90,,2.9,37.0,,6,Konstantinos Tsimikas,4.9,3.0,3.0,1
0,2021-22,2.0,0,Norwich,21.4,3,0,18,1,,,457,0,11,90,,12.2,2.0,,1,Dimitris Giannoulis,3.6,3.0,3.0,1
0,2021-22,2.0,0,Southampton,0.0,0,0,0,1,,,342,0,8,0,,0.0,0.0,,0,Kyle Walker-Peters,0.0,3.0,3.0,1
0,2021-22,2.0,0,Watford,20.2,2,0,12,1,,,384,0,2,90,,0.1,4.0,,1,Christian Kabasele,2.4,3.0,3.0,1
0,2021-22,2.0,0,Liverpool,0.0,0,0,0,1,,,243,0,15,0,,0.0,0.0,,0,Ibrahima Konaté,0.0,3.0,3.0,1
0,2021-22,2.0,0,Leicester,25.4,0,1,29,1,,,219,1,20,90,,5.7,0.0,,7,Luke Thomas,3.1,3.0,3.0,1
0,2021-22,2.0,0,Leeds,0.0,0,0,0,1,,,190,0,13,0,,0.0,0.0,,0,Diego Llorente,0.0,3.0,3.0,1
0,2021-22,2.0,0,Leeds,14.4,5,0,14,1,,,194,0,13,90,,0.3,0.0,,0,Robin Koch,1.5,3.0,3.0,1
0,2021-22,2.0,0,Crystal Palace,0.0,0,0,0,1,,,161,0,6,0,,0.0,0.0,,0,Nathan Ferguson,0.0,3.0,3.0,1
0,2021-22,2.0,0,Liverpool,0.0,0,0,0,1,,,246,0,15,0,,0.0,0.0,,0,Neco Williams,0.0,3.0,3.0,1
0,2021-22,2.0,0,Burnley,9.6,2,0,8,1,,,106,0,4,90,,0.8,7.0,,1,Ben Mee,1.7,3.0,3.0,1
0,2021-22,2.0,0,Leeds,16.4,5,0,15,1,,,198,0,13,90,,0.0,0.0,,0,Pascal Struijk,1.6,3.0,3.0,1
0,2021-22,2.0,0,Arsenal,0.0,0,0,0,1,,,24,0,3,0,,0.0,0.0,,0,Konstantinos Mavropanos,0.0,3.0,3.0,1
0,2021-22,2.0,0,Spurs,0.0,0,0,0,1,,,358,0,12,0,,0.0,0.0,,0,Serge Aurier,0.0,3.0,3.0,1
0,2021-22,2.0,0,Crystal Palace,13.8,3,0,14,1,,,477,0,6,90,,11.9,2.0,,1,Marc Guéhi,2.8,3.0,3.0,1
0,2021-22,2.0,0,Chelsea,0.0,0,0,0,1,,,139,0,7,0,,0.0,0.0,,0,Ethan Ampadu,0.0,3.0,3.0,1
0,2021-22,2.0,0,Man City,15.2,1,0,22,1,,,253,1,17,78,,29.1,2.0,,3,Benjamin Mendy,4.6,3.0,3.0,1
0,2021-22,2.0,0,Brentford,0.0,0,0,0,1,,,498,0,1,0,,0.0,0.0,,0,Dominic Thompson,0.0,3.0,3.0,1
0,2021-22,2.0,0,West Ham,0.0,0,0,0,1,,,424,0,14,0,,0.0,0.0,,0,Issa Diop,0.0,3.0,3.0,1
0,2021-22,2.0,0,Brentford,13.2,0,1,22,1,,,83,0,1,90,,1.3,2.0,,6,Rico Henry,1.7,3.0,3.0,1
0,2021-22,2.0,0,West Ham,0.0,0,0,0,1,,,521,0,14,0,,0.0,0.0,,0,Frederik Alves,0.0,3.0,3.0,1
0,2021-22,2.0,0,Spurs,0.2,0,0,3,1,,,494,0,12,1,,0.2,0.0,,1,Cristian Romero,0.0,3.0,3.0,1
0,2021-22,2.0,0,Liverpool,7.0,0,1,25,1,,,224,0,15,90,,3.8,22.0,,6,Joel Matip,3.3,3.0,3.0,1
0,2021-22,2.0,0,Liverpool,15.6,0,1,27,1,,,229,1,15,90,,17.6,6.0,,7,Virgil van Dijk,3.9,3.0,3.0,1
0,2021-22,2.0,0,Watford,0.0,0,0,0,1,,,401,0,2,0,,0.0,0.0,,0,Ben Wilmot,0.0,3.0,3.0,1
