goals_scored,season,element_type,assists,team,influence,goals_conceded,clean_sheets,bps,round,expected_goal_involvements,expected_goals,player_id,bonus,opponent_team,minutes,expected_goals_conceded,creativity,threat,expected_assists,total_points,player_name,ict_index,fdr_attack,fdr_defense,is_home
0,2021-22,4.0,0,Aston Villa,0.0,0,0,0,1,,,49,0,18,0,,0.0,0.0,,0,Keinan Davis,0.0,3.0,3.0,1
0,2021-22,4.0,0,Watford,0.0,0,0,0,1,,,468,0,2,0,,0.0,0.0,,0,Joshua King,0.0,3.0,3.0,1
1,2021-22,4.0,1,Everton,63.8,1,0,41,1,,,180,3,16,88,,29.3,37.0,,11,Richarlison de Andrade,13.0,3.0,3.0,1
0,2021-22,4.0,0,Southampton,0.0,0,0,0,1,,,518,0,8,0,,0.0,0.0,,0,Armando Broja,0.0,3.0,3.0,1
0,2021-22,4.0,0,Watford,0.0,0,0,0,1,,,388,0,2,0,,0.0,0.0,,0,Stipe Perica,0.0,3.0,3.0,1
0,2021-22,4.0,0,Watford,0.0,0,0,0,1,,,393,0,2,0,,0.0,0.0,,0,Isaac Success Ajayi,0.0,3.0,3.0,1
0,2021-22,4.0,0,Crystal Palace,0.0,0,0,0,1,,,542,0,6,0,,0.0,0.0,,0,Robert Street,0.0,3.0,3.0,1
0,2021-22,4.0,0,Chelsea,0.0,0,0,0,1,,,136,0,7,0,,0.0,0.0,,0,Tammy Abraham,0.0,3.0,3.0,1
0,2021-22,4.0,0,Wolves,4.0,1,0,2,1,,,430,0,9,90,,36.9,18.0,,2,Raúl Jiménez,5.9,3.0,3.0,1
1,2021-22,4.0,1,Watford,62.2,0,1,44,1,,,450,3,2,65,,33.4,87.0,,12,Emmanuel Dennis,18.3,3.0,3.0,1
0,2021-22,4.0,0,Arsenal,0.0,0,0,0,1,,,20,0,3,0,,0.0,0.0,,0,Edward Nketiah,0.0,3.0,3.0,1
0,2021-22,4.0,1,Southampton,26.4,3,0,16,1,,,345,0,8,90,,18.3,10.0,,5,Che Adams,5.5,3.0,3.0,1
0,2021-22,4.0,0,Liverpool,0.0,0,0,0,1,,,235,0,15,0,,0.0,0.0,,0,Divock Origi,0.0,3.0,3.0,1
0,2021-22,4.0,0,Watford,0.0,0,0,0,1,,,383,0,2,0,,0.0,0.0,,0,Andre Gray,0.0,3.0,3.0,1
0,2021-22,4.0,0,Crystal Palace,6.4,2,0,5,1,,,159,0,6,56,,1.3,0.0,,1,Jean-Philippe Mateta,0.8,3.0,3.0,1
0,2021-22,4.0,0,Spurs,0.0,0,0,0,1,,,520,0,12,0,,0.0,0.0,,0,Dane Scarlett,0.0,3.0,3.0,1
0,2021-22,4.0,0,Leeds,0.0,0,0,0,1,,,550,0,13,0,,0.0,0.0,,0,Sam Greenwood,0.0,3.0,3.0,1
0,2021-22,4.0,0,Arsenal,0.0,0,0,0,1,,,6,0,3,0,,0.0,0.0,,0,Alexandre Lacazette,0.0,3.0,3.0,1
0,2021-22,4.0,0,Burnley,0.0,0,0,2,1,,,111,0,4,5,,0.3,12.0,,1,Matej Vydra,1.0,3.0,3.0,1
0,2021-22,4.0,0,Brentford,0.0,0,0,1,1,,,88,0,1,4,,1.3,0.0,,1,Marcus Forss,0.1,3.0,3.0,1
0,2021-22,4.0,0,Arsenal,0.0,1,0,-2,1,,,530,0,3,58,,0.4,15.0,,1,Folarin Balogun,0.9,3.0,3.0,1
0,2021-22,4.0,0,Newcastle,0.0,0,0,0,1,,,300,0,19,0,,0.0,0.0,,0,Dwight Gayle,0.0,3.0,3.0,1
0,2021-22,4.0,0,Chelsea,0.0,0,0,0,1,,,126,0,7,0,,0.0,0.0,,0,Michy Batshuayi,0.0,3.0,3.0,1
0,2021-22,4.0,0,Man Utd,2.4,0,0,5,1,,,278,0,10,15,,1.2,0.0,,1,Anthony Martial,0.4,3.0,3.0,1
0,2021-22,4.0,0,Leeds,3.6,1,0,7,1,,,187,0,13,45,,1.3,0.0,,1,Rodrigo Moreno,0.5,3.0,3.0,1
1,2021-22,4.0,0,Newcastle,33.0,4,0,26,1,,,296,0,19,84,,1.1,70.0,,6,Callum Wilson,10.4,3.0,3.0,1
0,2021-22,4.0,0,Leicester,0.0,0,0,0,1,,,455,0,20,0,,0.0,0.0,,0,Patson Daka,0.0,3.0,3.0,1
1,2021-22,4.0,0,Aston Villa,34.2,3,0,29,1,,,337,1,18,90,,0.9,25.0,,7,Danny Ings,6.0,3.0,3.0,1
0,2021-22,4.0,0,Man City,2.4,0,0,4,1,,,263,0,17,20,,13.6,0.0,,1,Gabriel Fernando de Jesus,1.6,3.0,3.0,1
0,2021-22,4.0,0,Brighton,0.0,0,0,0,1,,,500,0,5,0,,0.0,0.0,,0,Florin Andone,0.0,3.0,3.0,1
1,2021-22,4.0,0,Everton,34.2,1,0,26,1,,,177,1,16,90,,2.3,83.0,,7,Dominic Calvert-Lewin,12.0,3.0,3.0,1
0,2021-22,4.0,0,Aston Villa,0.0,0,0,0,1,,,40,0,18,0,,0.0,0.0,,0,Ollie Watkins,0.0,3.0,3.0,1
0,2021-22,4.0,0,Leeds,0.0,5,0,0,1,,,189,0,13,76,,10.8,8.0,,2,Patrick Bamford,1.8,3.0,3.0,1
1,2021-22,4.0,0,Leicester,37.2,0,1,23,1,,,205,0,20,90,,24.7,59.0,,5,Jamie Vardy,12.1,3.0,3.0,1
1,2021-22,4.0,0,Southampton,33.2,3,0,24,1,,,525,0,8,90,,1.0,40.0,,6,Adam Armstrong,7.4,3.0,3.0,1
0,2021-22,4.0,0,Norwich,2.4,0,0,5,1,,,516,0,11,13,,0.3,4.0,,1,Joshua Sargent,0.7,3.0,3.0,1
0,2021-22,4.0,0,Arsenal,0.0,0,0,0,1,,,4,0,3,0,,0.0,0.0,,0,Pierre-Emerick Aubameyang,0.0,3.0,3.0,1
0,2021-22,4.0,1,Newcastle,39.6,4,0,34,1,,,307,1,19,90,,48.3,10.0,,6,Allan Saint-Maximin,9.8,3.0,3.0,1
0,2021-22,4.0,0,Newcastle,0.0,0,0,3,1,,,310,0,19,5,,0.8,0.0,,1,Joelinton Cássio Apolinário de Lira,0.1,3.0,3.0,1
0,2021-22,4.0,0,Crystal Palace,0.0,1,0,1,1,,,149,0,6,33,,0.3,4.0,,1,Christian Benteke,0.1,3.0,3.0,1
0,2021-22,4.0,0,Burnley,6.6,0,1,10,1,,,104,0,4,69,,2.5,17.0,,2,Jay Rodriguez,2.6,3.0,3.0,1
0,2021-22,4.0,0,Burnley,3.8,2,0,3,1,,,109,0,4,90,,12.0,25.0,,2,Chris Wood,4.1,3.0,3.0,1
0,2021-22,4.0,0,Crystal Palace,14.8,3,0,0,1,,,153,0,6,90,,11.9,19.0,,2,Jordan Ayew,4.6,3.0,3.0,1
1,2021-22,4.0,0,Liverpool,37.6,0,0,30,1,,,228,2,15,29,,14.2,21.0,,7,Roberto Firmino,7.3,3.0,3.0,1
0,2021-22,4.0,0,Norwich,3.6,3,0,0,1,,,315,0,11,76,,2.5,17.0,,2,Teemu Pukki,2.3,3.0,3.0,1
0,2021-22,4.0,0,Watford,0.0,0,0,0,1,,,469,0,2,0,,0.0,0.0,,0,Adedapo Awokoya-Mebude,0.0,3.0,3.0,1
0,2021-22,4.0,0,Leicester,1.4,0,0,2,1,,,213,0,20,18,,3.7,8.0,,1,Kelechi Iheanacho,1.3,3.0,3.0,1
