season,round,player_id,team,opponent_team,element_type,minutes,goals_scored,assists,bps,influence,creativity,threat,ict_index,fdr_attack,fdr_defense,is_home,total_points_roll1,total_points_roll3,total_points_roll5,total_points_roll10,goals_scored_roll1,goals_scored_roll3,goals_scored_roll5,goals_scored_roll10,assists_roll1,assists_roll3,assists_roll5,assists_roll10,minutes_roll1,minutes_roll3,minutes_roll5,minutes_roll10,bps_roll1,bps_roll3,bps_roll5,bps_roll10,influence_roll1,influence_roll3,influence_roll5,influence_roll10,creativity_roll1,creativity_roll3,creativity_roll5,creativity_roll10,threat_roll1,threat_roll3,threat_roll5,threat_roll10,goals_scored_roll_team3,goals_scored_roll_team5,goals_scored_roll_team10,goals_conceded_roll_team3,goals_conceded_roll_team5,goals_conceded_roll_team10,target
2021-22,1,4,Arsenal,3,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2021-22,1,6,Arsenal,3,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,1,20,Arsenal,3,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,1,530,Arsenal,3,4.0,58,0,0,-2,0.0,0.4,15.0,0.9,3.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-22,2,4,Arsenal,6,4.0,29,0,0,5,5.0,1.3,19.0,2.5,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.25,1.0
2021-22,2,6,Arsenal,6,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.2,0.0
2021-22,2,20,Arsenal,6,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.16666666666666666,0.0
2021-22,2,530,Arsenal,6,4.0,11,0,0,4,4.2,3.3,2.0,1.0,3.0,3.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,58.0,58.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.2,0.14285714285714285,1.0
2021-22,3,4,Arsenal,12,4.0,58,0,0,0,0.0,1.4,0.0,0.1,3.0,3.0,1,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,14.5,14.5,14.5,5.0,2.5,2.5,2.5,5.0,2.5,2.5,2.5,1.3,0.65,0.65,0.65,19.0,9.5,9.5,9.5,0.0,0.0,0.0,0.0,0.2,0.125,1.0
2021-22,3,6,Arsenal,12,4.0,31,0,0,-1,1.0,0.3,0.0,0.1,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.8,0.5555555555555556,1.0
2021-22,3,20,Arsenal,12,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.0,0.6,0.0
2021-22,3,530,Arsenal,12,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,34.5,34.5,34.5,4.0,1.0,1.0,1.0,4.2,2.1,2.1,2.1,3.3,1.8499999999999999,1.8499999999999999,1.8499999999999999,2.0,8.5,8.5,8.5,0.0,0.0,0.0,1.6666666666666667,1.0,0.6,0.0
2021-22,4,4,Arsenal,15,4.0,90,1,0,30,35.8,22.5,103.0,16.1,3.0,3.0,1,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,29.0,29.0,29.0,0.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.4,0.9,0.9,0.9,0.0,6.333333333333333,6.333333333333333,6.333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0,0.6,9.0
2021-22,4,6,Arsenal,15,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,10.333333333333334,10.333333333333334,10.333333333333334,-1.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.1,0.0,1.0,0.6,0.0
2021-22,4,20,Arsenal,15,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.1,0.0,0.2,0.5,0.0
2021-22,4,530,Arsenal,15,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.4000000000000001,1.4000000000000001,1.4000000000000001,0.0,1.2333333333333332,1.2333333333333332,1.2333333333333332,0.0,5.666666666666667,5.666666666666667,5.666666666666667,0.3333333333333333,0.2,0.1,0.0,0.0,0.5,0.0
