goals_scored,season,element_type,assists,team,influence,goals_conceded,clean_sheets,bps,round,expected_goal_involvements,expected_goals,player_id,bonus,opponent_team,minutes,expected_goals_conceded,creativity,threat,expected_assists,total_points,player_name,ict_index,fdr_attack,fdr_defense,is_home
0,2021-22,1.0,0,Liverpool,0.0,0,0,0,1,,,223,0,15,0,,0.0,0.0,,0,Adrián San Miguel del Castillo,0.0,3.0,3.0,1
0,2021-22,1.0,0,Man City,6.6,1,0,10,1,,,257,0,17,90,,0.0,0.0,,2,Ederson Santana de Moraes,0.7,3.0,3.0,1
0,2021-22,1.0,0,Chelsea,0.0,0,0,0,1,,,129,0,7,0,,0.0,0.0,,0,Kepa Arrizabalaga,0.0,3.0,3.0,1
0,2021-22,1.0,0,Arsenal,0.0,0,0,0,1,,,532,0,3,0,,0.0,0.0,,0,Karl Hein,0.0,3.0,3.0,1
0,2021-22,1.0,0,Crystal Palace,0.0,0,0,0,1,,,156,0,6,0,,0.0,0.0,,0,Jack Butland,0.0,3.0,3.0,1
0,2021-22,1.0,0,Everton,0.0,0,0,0,1,,,481,0,16,0,,0.0,0.0,,0,Asmir Begović,0.0,3.0,3.0,1
0,2021-22,1.0,0,Newcastle,51.0,4,0,30,1,,,513,0,19,90,,0.0,0.0,,6,Freddie Woodman,5.1,3.0,3.0,1
0,2021-22,1.0,0,Brighton,20.0,1,0,19,1,,,69,0,5,90,,10.0,0.0,,2,Robert Sánchez,3.0,3.0,3.0,1
0,2021-22,1.0,0,Chelsea,11.2,0,1,20,1,,,143,0,7,90,,0.0,0.0,,6,Edouard Mendy,1.1,3.0,3.0,1
0,2021-22,1.0,0,Arsenal,0.0,0,0,0,1,,,2,0,3,0,,0.0,0.0,,0,Rúnar Alex Rúnarsson,0.0,3.0,3.0,1
0,2021-22,1.0,0,Wolves,0.0,0,0,0,1,,,427,0,9,0,,0.0,0.0,,0,Rui Pedro dos Santos Patrício,0.0,3.0,3.0,1
0,2021-22,1.0,0,Man Utd,0.0,0,0,0,1,,,280,0,10,0,,0.0,0.0,,0,Dean Henderson,0.0,3.0,3.0,1
0,2021-22,1.0,0,West Ham,0.0,0,0,0,1,,,407,0,14,0,,0.0,0.0,,0,Darren Randolph,0.0,3.0,3.0,1
0,2021-22,1.0,0,Newcastle,0.0,0,0,0,1,,,295,0,19,0,,0.0,0.0,,0,Martin Dubravka,0.0,3.0,3.0,1
0,2021-22,1.0,0,West Ham,13.2,2,0,10,1,,,408,0,14,90,,0.0,0.0,,1,Lukasz Fabianski,1.3,3.0,3.0,1
0,2021-22,1.0,0,Aston Villa,28.2,3,0,18,1,,,30,0,18,90,,0.0,0.0,,2,Emiliano Martínez,2.8,3.0,3.0,1
0,2021-22,1.0,0,Newcastle,0.0,0,0,0,1,,,514,0,19,0,,0.0,0.0,,0,Mark Gillespie,0.0,3.0,3.0,1
